Measure Name,Year,Period,Value
Unemployment Rate (Toronto Residents),2013,Dec,0.0959
Unemployment Rate (Toronto Residents),2014,Jan,0.0975
Unemployment Rate (Toronto Residents),2014,Feb,0.099
Unemployment Rate (Toronto Residents),2014,Mar,0.0968
Unemployment Rate (Toronto Residents),2014,Apr,0.0949
Unemployment Rate (Toronto Residents),2014,May,0.0923
Unemployment Rate (Toronto Residents),2014,Jun,0.0954
Unemployment Rate (Toronto Residents),2014,Jul,0.101
Unemployment Rate (Toronto Residents),2014,Aug,0.1046
Unemployment Rate (Toronto Residents),2014,Sep,0.1021
Unemployment Rate (Toronto Residents),2014,Oct,0.0954
Unemployment Rate (Toronto Residents),2014,Nov,0.0908
Unemployment Rate (Toronto Residents),2014,Dec,0.0863
Unemployment Rate (Toronto Residents),2015,Jan,0.0809
Unemployment Rate (Toronto Residents),2015,Feb,0.0786
Unemployment Rate (Toronto Residents),2015,Mar,0.0768
Unemployment Rate (Toronto Residents),2015,Apr,0.077
Unemployment Rate (Toronto Residents),2015,May,0.0743
Unemployment Rate (Toronto Residents),2015,Jun,0.0733
Unemployment Rate (Toronto Residents),2015,Jul,0.0724
Unemployment Rate (Toronto Residents),2015,Aug,0.073
Unemployment Rate (Toronto Residents),2015,Sep,0.0745
Unemployment Rate (Toronto Residents),2015,Oct,0.0757
Unemployment Rate (Toronto Residents),2015,Nov,0.079
Unemployment Rate (Toronto Residents),2015,Dec,0.0824
Unemployment Rate (Toronto Residents),2016,Jan,0.0866
Unemployment Rate (Toronto Residents),2016,Feb,0.0866
Unemployment Rate (Toronto Residents),2016,Mar,0.0845
Unemployment Rate (Toronto Residents),2016,Apr,0.0816
Unemployment Rate (Toronto Residents),2016,May,0.0794
Unemployment Rate (Toronto Residents),2016,Jun,0.0712
Unemployment Rate (Toronto Residents),2016,Jul,0.0693
Unemployment Rate (Toronto Residents),2016,Aug,0.0699
Unemployment Rate (Toronto Residents),2016,Sep,0.0751
Unemployment Rate (Toronto Residents),2016,Oct,0.0756
Unemployment Rate (Toronto Residents),2016,Nov,0.0745
Unemployment Rate (Toronto Residents),2016,Dec,0.0738
Unemployment Rate (Toronto Residents),2017,Jan,0.0739
Unemployment Rate (Toronto Residents),2017,Feb,0.0746
Unemployment Rate (Toronto Residents),2017,Mar,0.0772
Unemployment Rate (Toronto Residents),2017,Apr,0.0757
Unemployment Rate (Toronto Residents),2017,May,0.0739
Unemployment Rate (Toronto Residents),2017,Jun,0.071
Unemployment Rate (Toronto Residents),2017,Jul,0.0704
Unemployment Rate (Toronto Residents),2017,Aug,0.0689
Unemployment Rate (Toronto Residents),2017,Sep,0.0686
Unemployment Rate (Toronto Residents),2017,Oct,0.0696
Unemployment Rate (Toronto Residents),2017,Nov,0.0691
Unemployment Rate (Toronto Residents),2017,Dec,0.0699
Unemployment Rate (Toronto Residents),2018,Jan,0.0684
Unemployment Rate (Toronto Residents),2018,Feb,0.0673
Unemployment Rate (Toronto Residents),2018,Mar,0.0664
Unemployment Rate (Toronto Residents),2018,Apr,0.0677
Unemployment Rate (Toronto Residents),2018,May,0.0684
Unemployment Rate (Toronto Residents),2018,Jun,0.0679
Unemployment Rate (Toronto Residents),2018,Jul,0.0646
Unemployment Rate (Toronto Residents),2018,Aug,0.061
Unemployment Rate (Toronto Residents),2018,Sep,0.0602
Unemployment Rate (Toronto Residents),2018,Oct,0.0611
Unemployment Rate (Toronto Residents),2018,Nov,0.063
Unemployment Rate (Toronto Residents),2018,Dec,0.0603
Unemployment Rate (Toronto Residents),2019,Jan,0.0626
Unemployment Rate (Toronto Residents),2019,Feb,0.0647
Unemployment Rate (Toronto Residents),2019,Mar,0.0701
Unemployment Rate (Toronto Residents),2019,Apr,0.0678
Unemployment Rate (Toronto Residents),2019,May,0.0634
Unemployment Rate (Toronto Residents),2019,Jun,0.0587
Unemployment Rate (Toronto Residents),2019,Jul,0.0584
Unemployment Rate (Toronto Residents),2019,Aug,0.0647
Unemployment Rate (Toronto Residents),2019,Sep,0.0678
Unemployment Rate (Toronto Residents),2019,Oct,0.0685
Unemployment Rate (Toronto Residents),2019,Nov,0.0673
Unemployment Rate (Toronto Residents),2019,Dec,0.0678
Unemployment Rate (Toronto Residents),2020,Jan,0.0675
Unemployment Rate (Toronto Residents),2020,Feb,0.0647
Unemployment Rate (Toronto Residents),2020,Mar,0.0693
Unemployment Rate (Toronto Residents),2020,Apr,0.0821
Unemployment Rate (Toronto Residents),2020,May,0.1093
